map_name,unlock_version,area_group,area_detail
戦士の儀礼場,ver6.0,天星郷フォーリオン,天星郷系
創生の邪洞,ver2,レンダーシア大陸,レンダーシア系
ソーラリア峡谷,ver2,レンダーシア大陸,レンダーシア系
そなえの場,ver6.0,天星郷フォーリオン,天星郷系
偽りの育みの大地,ver2,偽りのレンダーシア,偽りのレンダーシア系
古・エテーネ王国領,ver4,過去と未来,エテーネ王国/時渡り系
現・エテーネ王国領,ver4,過去と未来,エテーネ王国/時渡り系
真の育みの大地,ver2,真のレンダーシア,真のレンダーシア系
清き水の洞くつ,ver2,レンダーシア大陸,レンダーシア系
魔法の迷宮,ver1,レンダーシア周辺・共通施設,アストルティア初期/関連エリア
ピラミッド霊廟,ver2,レンダーシア大陸,レンダーシア系
真の名もなき草原,ver2,真のレンダーシア,真のレンダーシア系
偽りの名もなき草原,ver2,偽りのレンダーシア,偽りのレンダーシア系
カルデア山道の横穴,ver4.2,過去と未来,古ドワチャッカ系
クエド丘陵,ver6,天星郷フォーリオン,天星郷系
オルセコ高地,ver1,オーグリード大陸,アストルティア初期/関連エリア
古・バントリユ地方,ver4,過去と未来,エテーネ王国/時渡り系
現・バントリユ地方,ver4,過去と未来,エテーネ王国/時渡り系
古き神の遺跡,ver2,レンダーシア大陸,レンダーシア系
悠久の回廊,ver2,レンダーシア大陸,レンダーシア系
偽りのリンジャハル海岸,ver2,偽りのレンダーシア,偽りのレンダーシア系
ゼドラ王の黄昏,ver6.2,悪神の心域,悪神の心域系
現・ティプローネ高地,ver4,過去と未来,エテーネ王国/時渡り系
古・ティプローネ高地,ver4,過去と未来,エテーネ王国/時渡り系
現・残響の海蝕洞,ver4.0,過去と未来,エテーネ王国/時渡り系
古・残響の海蝕洞,ver4.0,過去と未来,エテーネ王国/時渡り系
デスディオ暗黒荒原,ver5.2,魔界,魔界系
創失の塔,ver7.6,果ての大地ゼニアス,ゼニアス系
魔ルクスガルン大空洞,ver5.4,魔界,魔界系
砂上船,ver6.1,悪神の心域,悪神の心域系
神嘘ナドラグラム,ver3,ナドラガンド大陸,正表記は「神墟ナドラグラム」の可能性。追記実データを残して補完
現・ドミネウス邸,ver4,過去と未来,エテーネ王国/時渡り系
勇者の曙光,ver6.2,悪神の心域,悪神の心域系
創失のガナン帝国領,ver7.5,果ての大地ゼニアス,ゼニアス系
雨の島,ver7.5,果ての大地ゼニアス,ゼニアス系
ムニエカ・隠し通路,ver7.5,果ての大地ゼニアス,ムニエカの深層隣接の隠し通路。Ver7.5攻略情報で確認
創失のガナン帝国城,ver7.5,果ての大地ゼニアス,Ver7.5ストーリー終盤の城として確認
魔眼の月,ver6.5,天星郷フォーリオン,Ver6.5後期ストーリーの最終盤マップとして確認
恵の広場,ver7.4,果ての大地ゼニアス,Ver7.4攻略チャート上の進行地点として確認。表記は要確認
